source,text,answer,answer2
Laptop-ACOS/train.txt,acer wants $ 170 to just look at it then add the repair cost on top of that .,"[['SUPPORT#PRICE', '0,4', '-1,-1', '1']]","[['SUPPORT#PRICE', 'acer', None, '1']]"
Laptop-ACOS/train.txt,update : i repaired it myself for $ 12 .,"[['LAPTOP#GENERAL', '-1,-1', '-1,-1', '1']]","[['LAPTOP#GENERAL', None, None, '1']]"
Laptop-ACOS/train.txt,i had nothing to lose since it was a paper weight otherwise .,"[['LAPTOP#GENERAL', '-1,-1', '-1,-1', '0']]","[['LAPTOP#GENERAL', None, None, '0']]"
Laptop-ACOS/train.txt,the shame of it is knowing it took me 15 minutes and $ 12 to fix it and acer wanted to rob me of $ 170 just to look at it .,"[['SUPPORT#GENERAL', '72,76', '-1,-1', '0']]","[['SUPPORT#GENERAL', 'acer', None, '0']]"
Laptop-ACOS/train.txt,"first one that they shipped was obviously defective , super slow and speakers were garbled .","[['SHIPPING#GENERAL', '-1,-1', '42,51', '0'], ['SHIPPING#GENERAL', '-1,-1', '60,64', '0'], ['MULTIMEDIA_DEVICES#GENERAL', '69,77', '83,90', '0']]","[['SHIPPING#GENERAL', None, 'defective', '0'], ['SHIPPING#GENERAL', None, 'slow', '0'], ['MULTIMEDIA_DEVICES#GENERAL', 'speakers', 'garbled', '0']]"
Laptop-ACOS/train.txt,"the replacement i got was much better , but still too slow for my expectations .","[['LAPTOP#QUALITY', '4,15', '54,58', '0']]","[['LAPTOP#QUALITY', 'replacement', 'slow', '0']]"
Laptop-ACOS/train.txt,i wound up returning it .,"[['LAPTOP#GENERAL', '-1,-1', '-1,-1', '0']]","[['LAPTOP#GENERAL', None, None, '0']]"
Laptop-ACOS/train.txt,this works fine for that .,"[['LAPTOP#QUALITY', '-1,-1', '11,15', '2']]","[['LAPTOP#QUALITY', None, 'fine', '2']]"
Laptop-ACOS/train.txt,"october 12 , 2017 - - started having trouble maintaining connection to wifi ( spectrum service ) , but usually after several loops re - entering password , connection would be re - established .","[['PORTS#QUALITY', '71,75', '37,44', '0']]","[['PORTS#QUALITY', 'wifi', 'trouble', '0']]"
Laptop-ACOS/train.txt,"sometimes had to do several times , but thought it might be an idiosyncrady of this model .","[['HARDWARE#GENERAL', '84,89', '-1,-1', '0']]","[['HARDWARE#GENERAL', 'model', None, '0']]"
Laptop-ACOS/train.txt,now i ' m really bummed that i have a very nice looking chromebook with a beautiful screen that is totally unusable .,"[['LAPTOP#DESIGN_FEATURES', '56,66', '43,47', '2'], ['LAPTOP#OPERATION_PERFORMANCE', '56,66', '17,23', '0'], ['LAPTOP#OPERATION_PERFORMANCE', '56,66', '107,115', '0'], ['DISPLAY#OPERATION_PERFORMANCE', '84,90', '74,83', '2']]","[['LAPTOP#DESIGN_FEATURES', 'chromebook', 'nice', '2'], ['LAPTOP#OPERATION_PERFORMANCE', 'chromebook', 'bummed', '0'], ['LAPTOP#OPERATION_PERFORMANCE', 'chromebook', 'unusable', '0'], ['DISPLAY#OPERATION_PERFORMANCE', 'screen', 'beautiful', '2']]"
Laptop-ACOS/train.txt,i just got this thing today & was really excited about it but this has been frustrating & disappointing .,"[['LAPTOP#GENERAL', '-1,-1', '76,87', '0'], ['LAPTOP#GENERAL', '-1,-1', '90,103', '0']]","[['LAPTOP#GENERAL', None, 'frustrating', '0'], ['LAPTOP#GENERAL', None, 'disappointing', '0']]"
Laptop-ACOS/train.txt,i ' ll wait a while until this device gets 4 - 5 stars .,"[['LAPTOP#OPERATION_PERFORMANCE', '31,37', '-1,-1', '1']]","[['LAPTOP#OPERATION_PERFORMANCE', 'device', None, '1']]"
Laptop-ACOS/train.txt,there are certain very basic tasks that this computer can do .,"[['LAPTOP#GENERAL', '45,53', '-1,-1', '0']]","[['LAPTOP#GENERAL', 'computer', None, '0']]"
Laptop-ACOS/train.txt,"a lot of websites don ' t work properly with the chromebook , even though you ' re using the same browser .","[['LAPTOP#GENERAL', '49,59', '-1,-1', '0']]","[['LAPTOP#GENERAL', 'chromebook', None, '0']]"
Laptop-ACOS/train.txt,"overall , this thing can do very basic stuff , sometimes .","[['LAPTOP#GENERAL', '-1,-1', '-1,-1', '1']]","[['LAPTOP#GENERAL', None, None, '1']]"
