domain,va_mode,seed,best_thresh,cF1,cPrec,cRec,VA_pct,n_matched,V_MAE,A_MAE,Joint_L2,V_PCC,A_PCC,V_Quad_F1,A_Quad_F1,VA_Quad_F1
eng_restaurant,span_pair,7,0.0,0.6727,0.7033,0.6447,92.29,289,0.5444,0.6322,0.8694,0.8995,0.7255,0.3406,0.3099,0.2279
eng_restaurant,span_pair,42,0.0,0.681,0.7222,0.6443,92.89,284,0.4902,0.5891,0.802,0.9045,0.7374,0.3523,0.3368,0.2358
eng_restaurant,span_pair,66,0.5,0.6742,0.7404,0.6188,91.81,276,0.5636,0.6916,0.9236,0.9019,0.7348,0.3471,0.2857,0.2296
eng_restaurant,span_pair,123,1.0,0.6937,0.7535,0.6427,92.66,285,0.5158,0.5987,0.8267,0.9057,0.7321,0.3519,0.3333,0.2381
eng_restaurant,span_pair,2045,-0.1,0.6751,0.7322,0.6263,91.92,279,0.5622,0.6733,0.9119,0.8971,0.7127,0.3461,0.2985,0.2325
eng_restaurant,span_pair,7,-0.1,0.6772,0.7356,0.6274,92.75,278,0.5105,0.5904,0.8163,0.8996,0.7215,0.3466,0.3413,0.2434
eng_restaurant,span_pair,42,-0.1,0.6775,0.7248,0.636,92.67,281,0.509,0.6054,0.8268,0.9045,0.7334,0.3629,0.3081,0.2245
eng_restaurant,span_pair,66,-0.1,0.674,0.7367,0.6211,91.82,277,0.563,0.6873,0.9229,0.9041,0.7163,0.3271,0.2846,0.2207
eng_restaurant,span_pair,123,-0.5,0.6863,0.7155,0.6594,92.77,293,0.5004,0.5961,0.813,0.9061,0.7244,0.3648,0.3265,0.25
eng_restaurant,span_pair,2045,0.0,0.6726,0.7317,0.6223,92.66,275,0.5088,0.6082,0.828,0.9079,0.7238,0.3735,0.3179,0.249
eng_restaurant,opinion_guided,7,-0.1,0.6853,0.7563,0.6265,92.96,277,0.4959,0.573,0.7946,0.9076,0.7462,0.3834,0.3619,0.2681
eng_restaurant,opinion_guided,42,-0.1,0.6676,0.7175,0.6243,92.28,277,0.5501,0.625,0.8713,0.8985,0.7311,0.3277,0.3041,0.2097
eng_restaurant,opinion_guided,66,0.5,0.6886,0.7367,0.6464,92.54,286,0.5321,0.6057,0.8419,0.8961,0.7286,0.3446,0.3316,0.2402
eng_restaurant,opinion_guided,123,0.0,0.6693,0.7161,0.6283,92.22,281,0.5485,0.6389,0.878,0.8961,0.725,0.3316,0.3033,0.2115
eng_restaurant,opinion_guided,2045,-0.3,0.6815,0.7426,0.6297,92.42,279,0.5343,0.6215,0.8553,0.8932,0.7296,0.3475,0.3103,0.2281
eng_restaurant,opinion_guided,7,0.3,0.678,0.7387,0.6265,92.61,277,0.5173,0.6056,0.8342,0.9007,0.7378,0.3395,0.313,0.2308
eng_restaurant,opinion_guided,42,0.3,0.676,0.7276,0.6313,92.65,279,0.5269,0.5967,0.8303,0.8999,0.7242,0.3307,0.3465,0.2283
eng_restaurant,opinion_guided,66,0.0,0.6796,0.7271,0.638,92.96,281,0.4936,0.5729,0.7946,0.9023,0.7365,0.3812,0.3551,0.2637
eng_restaurant,opinion_guided,123,-0.5,0.6831,0.7265,0.6446,92.61,285,0.5112,0.6126,0.834,0.8982,0.7277,0.3532,0.3351,0.2442
eng_restaurant,opinion_guided,2045,0.0,0.6653,0.7319,0.6099,92.16,271,0.5452,0.6515,0.8842,0.9046,0.7343,0.3316,0.2968,0.2166
