domain,va_mode,seed,best_thresh,cF1,cPrec,cRec,VA_pct,n_matched,V_MAE,A_MAE,Joint_L2,V_PCC,A_PCC,V_Quad_F1,A_Quad_F1,VA_Quad_F1
eng_restaurant,span_pair,42,-0.1,0.5219,0.6324,0.4443,94.23,555,0.4051,0.4733,0.6525,0.9424,0.7337,0.3447,0.3327,0.2717
eng_restaurant,span_pair,66,-0.1,0.5268,0.6189,0.4586,94.36,572,0.3996,0.4554,0.6385,0.9455,0.7729,0.3496,0.335,0.2744
eng_restaurant,span_pair,123,-2.0,0.5206,0.588,0.4671,94.47,582,0.3908,0.4466,0.6261,0.9495,0.7563,0.345,0.3374,0.2806
eng_restaurant,span_pair,7,-1.0,0.5244,0.5867,0.4741,94.09,593,0.4151,0.4816,0.6682,0.9462,0.7457,0.3452,0.3282,0.2802
eng_restaurant,span_pair,2045,-1.0,0.5269,0.6019,0.4684,94.41,584,0.4051,0.4426,0.6325,0.9439,0.7645,0.347,0.3528,0.283
eng_restaurant,opinion_guided,42,-0.3,0.5273,0.6233,0.457,94.04,572,0.4252,0.4768,0.6746,0.9393,0.733,0.3394,0.3276,0.2648
eng_restaurant,opinion_guided,66,-0.1,0.5331,0.6072,0.4752,94.15,593,0.4165,0.4663,0.6626,0.9395,0.7593,0.3453,0.3262,0.2651
eng_restaurant,opinion_guided,123,-0.5,0.5202,0.6362,0.44,94.33,549,0.3999,0.4499,0.6413,0.94,0.7787,0.3509,0.3318,0.2735
eng_restaurant,opinion_guided,7,-0.1,0.5076,0.6185,0.4304,94.33,537,0.4102,0.4511,0.6415,0.9415,0.7496,0.3429,0.3238,0.2757
eng_restaurant,opinion_guided,2045,-0.5,0.5264,0.6263,0.4539,94.23,567,0.4131,0.4574,0.6531,0.9422,0.7652,0.3568,0.3432,0.2809
eng_restaurant,span_pair,7,-0.5,0.5216,0.6023,0.46,94.16,575,0.4103,0.4733,0.6604,0.9465,0.7561,0.3422,0.3287,0.2747
eng_restaurant,span_pair,2045,-0.3,0.5126,0.6019,0.4464,94.5,556,0.3931,0.4392,0.6218,0.9433,0.7751,0.3416,0.3328,0.2792
eng_restaurant,opinion_guided,7,0.0,0.5111,0.6119,0.4388,94.41,547,0.4075,0.4415,0.632,0.937,0.7599,0.3455,0.3426,0.2802
eng_restaurant,opinion_guided,2045,-0.5,0.5248,0.6262,0.4517,94.26,564,0.4126,0.4557,0.6495,0.9446,0.7716,0.3605,0.3378,0.2736
eng_restaurant,span_pair,42,-0.5,0.5058,0.5796,0.4486,93.95,562,0.431,0.4898,0.6842,0.9403,0.7212,0.3287,0.3306,0.2722
eng_restaurant,span_pair,66,-0.5,0.5267,0.6255,0.4549,94.27,568,0.4051,0.4658,0.6488,0.9421,0.7523,0.3516,0.3447,0.2856
eng_restaurant,span_pair,123,0.0,0.5214,0.6363,0.4417,94.34,551,0.4016,0.4509,0.6399,0.9413,0.7777,0.3502,0.3422,0.286
eng_restaurant,opinion_guided,42,0.3,0.5258,0.6313,0.4505,94.36,562,0.3921,0.4583,0.6383,0.9457,0.7489,0.3524,0.3433,0.2798
eng_restaurant,opinion_guided,66,-0.3,0.5294,0.6148,0.4649,94.5,579,0.3855,0.4445,0.6219,0.9531,0.7779,0.3543,0.3535,0.2807
eng_restaurant,opinion_guided,123,-0.1,0.5183,0.6073,0.452,94.33,564,0.4034,0.4512,0.6412,0.9415,0.7755,0.3392,0.3314,0.268
