domain,va_mode,seed,best_thresh,cF1,cPrec,cRec,VA_pct,n_matched,V_MAE,A_MAE,Joint_L2,V_PCC,A_PCC,V_Quad_F1,A_Quad_F1,VA_Quad_F1
eng_laptop,position,7,0.0,0.4073,0.5174,0.3358,93.66,570,0.4567,0.5053,0.7144,0.9265,0.7175,0.2354,0.2483,0.1883
eng_laptop,position,42,-0.3,0.4074,0.4999,0.3438,93.77,583,0.4473,0.4916,0.7044,0.9325,0.7421,0.2396,0.2196,0.1736
eng_laptop,position,66,0.0,0.409,0.5261,0.3345,93.79,567,0.4401,0.5013,0.7015,0.9354,0.7158,0.2411,0.235,0.186
eng_laptop,position,123,-0.1,0.4057,0.5128,0.3356,93.78,569,0.4484,0.4924,0.7027,0.9298,0.7305,0.2353,0.2285,0.1816
eng_laptop,position,2045,-1.0,0.3926,0.4518,0.3471,93.87,588,0.4484,0.4785,0.6929,0.9269,0.7352,0.235,0.2081,0.172
eng_laptop,span_pair,7,-0.5,0.4102,0.514,0.3413,94.37,575,0.4012,0.4526,0.635,0.9453,0.7736,0.2468,0.246,0.1896
eng_laptop,span_pair,42,0.0,0.4008,0.5153,0.328,94.44,553,0.3919,0.4479,0.6278,0.9501,0.7574,0.2471,0.2387,0.1859
eng_laptop,span_pair,66,-0.1,0.3975,0.5125,0.3246,94.49,546,0.3868,0.4491,0.6215,0.9514,0.7813,0.2514,0.233,0.1901
eng_laptop,span_pair,123,-0.1,0.3921,0.5532,0.3037,94.41,511,0.4012,0.4468,0.6313,0.9419,0.7568,0.2441,0.232,0.19
eng_laptop,span_pair,2045,0.0,0.4016,0.5258,0.3248,94.38,547,0.3931,0.4604,0.6352,0.9476,0.7536,0.2492,0.2446,0.195
eng_laptop,opinion_guided,7,-0.3,0.4077,0.5141,0.3378,94.38,569,0.4046,0.4494,0.6345,0.9471,0.7817,0.2493,0.2372,0.1874
eng_laptop,opinion_guided,42,-0.5,0.4078,0.4945,0.3469,94.45,584,0.3924,0.4489,0.6267,0.95,0.7721,0.2502,0.2421,0.1928
eng_laptop,opinion_guided,66,-0.1,0.3995,0.5155,0.3262,94.6,548,0.3816,0.4394,0.6092,0.9494,0.7762,0.2477,0.2431,0.1925
eng_laptop,opinion_guided,123,-0.5,0.394,0.509,0.3214,94.42,541,0.3955,0.4469,0.6297,0.9508,0.7755,0.2371,0.2325,0.1788
eng_laptop,opinion_guided,2045,-0.1,0.4041,0.5179,0.3312,94.53,558,0.3882,0.4387,0.6156,0.9461,0.7846,0.2528,0.2436,0.2008
